"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"41673","*****","0500000US05005","Baxter County, Arkansas"
"273510","*****","0500000US05007","Benton County, Arkansas"
"37525","*****","0500000US05009","Boone County, Arkansas"
"10805","*****","0500000US05011","Bradley County, Arkansas"
"5160","*****","0500000US05013","Calhoun County, Arkansas"
"28062","*****","0500000US05015","Carroll County, Arkansas"
"10433","*****","0500000US05017","Chicot County, Arkansas"
"22341","*****","0500000US05019","Clark County, Arkansas"
"14710","*****","0500000US05021","Clay County, Arkansas"
"25063","*****","0500000US05023","Cleburne County, Arkansas"
"8063","*****","0500000US05025","Cleveland County, Arkansas"
"23620","*****","0500000US05027","Columbia County, Arkansas"
"20895","*****","0500000US05029","Conway County, Arkansas"
"109081","*****","0500000US05031","Craighead County, Arkansas"
"63118","*****","0500000US05033","Crawford County, Arkansas"
"48381","*****","0500000US05035","Crittenden County, Arkansas"
"16576","*****","0500000US05037","Cross County, Arkansas"
"7114","*****","0500000US05039","Dallas County, Arkansas"
"11538","*****","0500000US05041","Desha County, Arkansas"
"18263","*****","0500000US05043","Drew County, Arkansas"
"124800","*****","0500000US05045","Faulkner County, Arkansas"
"17785","*****","0500000US05047","Franklin County, Arkansas"
"12301","*****","0500000US05049","Fulton County, Arkansas"
"99043","*****","0500000US05051","Garland County, Arkansas"
"18229","*****","0500000US05053","Grant County, Arkansas"
"45197","*****","0500000US05055","Greene County, Arkansas"
"21695","*****","0500000US05057","Hempstead County, Arkansas"
"33667","*****","0500000US05059","Hot Spring County, Arkansas"
"13267","*****","0500000US05061","Howard County, Arkansas"
"37585","*****","0500000US05063","Independence County, Arkansas"
"13596","*****","0500000US05065","Izard County, Arkansas"
"16908","*****","0500000US05067","Jackson County, Arkansas"
"68123","*****","0500000US05069","Jefferson County, Arkansas"
"26475","*****","0500000US05071","Johnson County, Arkansas"
"6728","*****","0500000US05073","Lafayette County, Arkansas"
"16511","*****","0500000US05075","Lawrence County, Arkansas"
"8963","*****","0500000US05077","Lee County, Arkansas"
"13278","*****","0500000US05079","Lincoln County, Arkansas"
"12345","*****","0500000US05081","Little River County, Arkansas"
"21619","*****","0500000US05083","Logan County, Arkansas"
"73163","*****","0500000US05085","Lonoke County, Arkansas"
"16393","*****","0500000US05087","Madison County, Arkansas"
"16586","*****","0500000US05089","Marion County, Arkansas"
"43515","*****","0500000US05091","Miller County, Arkansas"
"41396","*****","0500000US05093","Mississippi County, Arkansas"
"6879","*****","0500000US05095","Monroe County, Arkansas"
"8964","*****","0500000US05097","Montgomery County, Arkansas"
"8249","*****","0500000US05099","Nevada County, Arkansas"
"7753","*****","0500000US05101","Newton County, Arkansas"
"23597","*****","0500000US05103","Ouachita County, Arkansas"
"10342","*****","0500000US05105","Perry County, Arkansas"
"18151","*****","0500000US05107","Phillips County, Arkansas"
"10714","*****","0500000US05109","Pike County, Arkansas"
"23747","*****","0500000US05111","Poinsett County, Arkansas"
"19999","*****","0500000US05113","Polk County, Arkansas"
"63926","*****","0500000US05115","Pope County, Arkansas"
"8138","*****","0500000US05117","Prairie County, Arkansas"
"393078","*****","0500000US05119","Pulaski County, Arkansas"
"17934","*****","0500000US05121","Randolph County, Arkansas"
"25477","*****","0500000US05123","St. Francis County, Arkansas"
"120990","*****","0500000US05125","Saline County, Arkansas"
"10269","*****","0500000US05127","Scott County, Arkansas"
"7898","*****","0500000US05129","Searcy County, Arkansas"
"127670","*****","0500000US05131","Sebastian County, Arkansas"
"16947","*****","0500000US05133","Sevier County, Arkansas"
"17217","*****","0500000US05135","Sharp County, Arkansas"
"12582","*****","0500000US05137","Stone County, Arkansas"
"39089","*****","0500000US05139","Union County, Arkansas"
"16578","*****","0500000US05141","Van Buren County, Arkansas"
"236198","*****","0500000US05143","Washington County, Arkansas"
"78725","*****","0500000US05145","White County, Arkansas"
"6477","*****","0500000US05147","Woodruff County, Arkansas"
"21425","*****","0500000US05149","Yell County, Arkansas"
"1661584","*****","0500000US06001","Alameda County, California"
"1159","172","0500000US06003","Alpine County, California"
"39023","*****","0500000US06005","Amador County, California"
"223344","*****","0500000US06007","Butte County, California"
"45828","*****","0500000US06009","Calaveras County, California"
"21491","*****","0500000US06011","Colusa County, California"
"1147788","*****","0500000US06013","Contra Costa County, California"
"27692","*****","0500000US06015","Del Norte County, California"
"190345","*****","0500000US06017","El Dorado County, California"
"990204","*****","0500000US06019","Fresno County, California"
"28060","*****","0500000US06021","Glenn County, California"
"136101","*****","0500000US06023","Humboldt County, California"
"180580","*****","0500000US06025","Imperial County, California"
"17930","*****","0500000US06027","Inyo County, California"
"892458","*****","0500000US06029","Kern County, California"
"151090","*****","0500000US06031","Kings County, California"
"64276","*****","0500000US06033","Lake County, California"
"30600","*****","0500000US06035","Lassen County, California"
"10040682","*****","0500000US06037","Los Angeles County, California"
"155925","*****","0500000US06039","Madera County, California"
"259441","*****","0500000US06041","Marin County, California"
"17319","*****","0500000US06043","Mariposa County, California"
"87110","*****","0500000US06045","Mendocino County, California"
"273661","*****","0500000US06047","Merced County, California"
"8853","*****","0500000US06049","Modoc County, California"
"14395","*****","0500000US06051","Mono County, California"
"432977","*****","0500000US06053","Monterey County, California"
"138572","*****","0500000US06055","Napa County, California"
"99417","*****","0500000US06057","Nevada County, California"
"3170345","*****","0500000US06059","Orange County, California"
"391799","*****","0500000US06061","Placer County, California"
"18844","*****","0500000US06063","Plumas County, California"
"2437864","*****","0500000US06065","Riverside County, California"
"1537948","*****","0500000US06067","Sacramento County, California"
"61547","*****","0500000US06069","San Benito County, California"
"2162532","*****","0500000US06071","San Bernardino County, California"
"3323970","*****","0500000US06073","San Diego County, California"
"874784","*****","0500000US06075","San Francisco County, California"
"751615","*****","0500000US06077","San Joaquin County, California"
"282517","*****","0500000US06079","San Luis Obispo County, California"
"765623","*****","0500000US06081","San Mateo County, California"
"444895","*****","0500000US06083","Santa Barbara County, California"
"1924379","*****","0500000US06085","Santa Clara County, California"
"273170","*****","0500000US06087","Santa Cruz County, California"
"179267","*****","0500000US06089","Shasta County, California"
"2898","172","0500000US06091","Sierra County, California"
"43516","*****","0500000US06093","Siskiyou County, California"
"444538","*****","0500000US06095","Solano County, California"
"496801","*****","0500000US06097","Sonoma County, California"
"546235","*****","0500000US06099","Stanislaus County, California"
"96315","*****","0500000US06101","Sutter County, California"
"64176","*****","0500000US06103","Tehama County, California"
"12541","*****","0500000US06105","Trinity County, California"
"463955","*****","0500000US06107","Tulare County, California"
"54147","*****","0500000US06109","Tuolumne County, California"
"845599","*****","0500000US06111","Ventura County, California"
"218774","*****","0500000US06113","Yolo County, California"
"77524","*****","0500000US06115","Yuba County, California"
"509844","91","0500000US08001","Adams County, Colorado"
"16153","*****","0500000US08003","Alamosa County, Colorado"
"649980","140","0500000US08005","Arapahoe County, Colorado"
"13588","*****","0500000US08007","Archuleta County, Colorado"
"3570","*****","0500000US08009","Baca County, Colorado"
"5677","*****","0500000US08011","Bent County, Colorado"
"324682","*****","0500000US08013","Boulder County, Colorado"
"69444","*****","0500000US08014","Broomfield County, Colorado"
"19977","*****","0500000US08015","Chaffee County, Colorado"
"1999","215","0500000US08017","Cheyenne County, Colorado"
"9533","*****","0500000US08019","Clear Creek County, Colorado"
"8130","*****","0500000US08021","Conejos County, Colorado"
"3810","*****","0500000US08023","Costilla County, Colorado"
"5733","*****","0500000US08025","Crowley County, Colorado"
"4941","*****","0500000US08027","Custer County, Colorado"
"30758","*****","0500000US08029","Delta County, Colorado"
"715878","174","0500000US08031","Denver County, Colorado"
"1896","215","0500000US08033","Dolores County, Colorado"
"344280","*****","0500000US08035","Douglas County, Colorado"
"54960","*****","0500000US08037","Eagle County, Colorado"
"26230","*****","0500000US08039","Elbert County, Colorado"
"710499","*****","0500000US08041","El Paso County, Colorado"
"47725","*****","0500000US08043","Fremont County, Colorado"
"59605","*****","0500000US08045","Garfield County, Colorado"
"6108","*****","0500000US08047","Gilpin County, Colorado"
"15536","*****","0500000US08049","Grand County, Colorado"
"17119","*****","0500000US08051","Gunnison County, Colorado"
"781","141","0500000US08053","Hinsdale County, Colorado"
"6769","*****","0500000US08055","Huerfano County, Colorado"
"1316","164","0500000US08057","Jackson County, Colorado"
"578795","*****","0500000US08059","Jefferson County, Colorado"
"1463","164","0500000US08061","Kiowa County, Colorado"
"7246","*****","0500000US08063","Kit Carson County, Colorado"
"7845","*****","0500000US08065","Lake County, Colorado"
"56138","*****","0500000US08067","La Plata County, Colorado"
"350523","*****","0500000US08069","Larimer County, Colorado"
"14323","*****","0500000US08071","Las Animas County, Colorado"
"5608","*****","0500000US08073","Lincoln County, Colorado"
"22282","*****","0500000US08075","Logan County, Colorado"
"152962","*****","0500000US08077","Mesa County, Colorado"
"853","149","0500000US08079","Mineral County, Colorado"
"13150","*****","0500000US08081","Moffat County, Colorado"
"26266","*****","0500000US08083","Montezuma County, Colorado"
"42280","*****","0500000US08085","Montrose County, Colorado"
"28617","*****","0500000US08087","Morgan County, Colorado"
"18284","*****","0500000US08089","Otero County, Colorado"
"4890","*****","0500000US08091","Ouray County, Colorado"
"18345","*****","0500000US08093","Park County, Colorado"
"4343","*****","0500000US08095","Phillips County, Colorado"
"17980","*****","0500000US08097","Pitkin County, Colorado"
